Curve,CloseDate,MaturityDate,DiscountFactor
USD_SOFR_EOD,5/12/2021,13-May-2021,0.999999722
USD_SOFR_EOD,5/12/2021,14-May-2021,0.999999444
USD_SOFR_EOD,5/12/2021,17-May-2021,0.999998794
USD_SOFR_EOD,5/12/2021,18-May-2021,0.999998634
USD_SOFR_EOD,5/12/2021,19-May-2021,0.999998496
USD_SOFR_EOD,5/12/2021,20-May-2021,0.999998379
USD_SOFR_EOD,5/12/2021,21-May-2021,0.999998278
USD_SOFR_EOD,5/12/2021,24-May-2021,0.999997972
USD_SOFR_EOD,5/12/2021,25-May-2021,0.99999781
USD_SOFR_EOD,5/12/2021,26-May-2021,0.999997585
USD_SOFR_EOD,5/12/2021,27-May-2021,0.999997281
USD_SOFR_EOD,5/12/2021,28-May-2021,0.999996878
USD_SOFR_EOD,5/12/2021,31-May-2021,0.999995114
USD_SOFR_EOD,5/12/2021,1-Jun-2021,0.999994438
USD_SOFR_EOD,5/12/2021,2-Jun-2021,0.999993771
USD_SOFR_EOD,5/12/2021,3-Jun-2021,0.999993145
USD_SOFR_EOD,5/12/2021,4-Jun-2021,0.99999259
USD_SOFR_EOD,5/12/2021,7-Jun-2021,0.999991475
USD_SOFR_EOD,5/12/2021,8-Jun-2021,0.999991248
USD_SOFR_EOD,5/12/2021,9-Jun-2021,0.999991072
USD_SOFR_EOD,5/12/2021,10-Jun-2021,0.999990934
USD_SOFR_EOD,5/12/2021,11-Jun-2021,0.99999082
